Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066024,2026,01,01,10.0
IDCJAC0016,066024,2026,01,02,19.3
IDCJAC0016,066024,2026,01,03,24.2
IDCJAC0016,066024,2026,01,04,20.9
IDCJAC0016,066024,2026,01,05,24.1
IDCJAC0016,066024,2026,01,06,29.3
IDCJAC0016,066024,2026,01,07,31.5
IDCJAC0016,066024,2026,01,08,31.5
IDCJAC0016,066024,2026,01,09,31.4
IDCJAC0016,066024,2026,01,10,31.4
IDCJAC0016,066024,2026,01,11,3.6
IDCJAC0016,066024,2026,01,12,9.9
IDCJAC0016,066024,2026,01,13,26.5
IDCJAC0016,066024,2026,01,14,20.3
IDCJAC0016,066024,2026,01,15,15.4
IDCJAC0016,066024,2026,01,16,23.1
IDCJAC0016,066024,2026,01,17,9.8
IDCJAC0016,066024,2026,01,18,18.9
IDCJAC0016,066024,2026,01,19,18.1
IDCJAC0016,066024,2026,01,20,24.0
IDCJAC0016,066024,2026,01,21,29.4
IDCJAC0016,066024,2026,01,22,20.0
IDCJAC0016,066024,2026,01,23,23.2
IDCJAC0016,066024,2026,01,24,30.3
IDCJAC0016,066024,2026,01,25,29.7
IDCJAC0016,066024,2026,01,26,17.0
IDCJAC0016,066024,2026,01,27,26.9
IDCJAC0016,066024,2026,01,28,29.9
IDCJAC0016,066024,2026,01,29,26.2
IDCJAC0016,066024,2026,01,30,28.7
IDCJAC0016,066024,2026,01,31,29.2
IDCJAC0016,066024,2026,02,01,16.2
IDCJAC0016,066024,2026,02,02,25.6
IDCJAC0016,066024,2026,02,03,15.7
IDCJAC0016,066024,2026,02,04,29.0
IDCJAC0016,066024,2026,02,05,27.3
IDCJAC0016,066024,2026,02,06,20.2
IDCJAC0016,066024,2026,02,07,25.0
IDCJAC0016,066024,2026,02,08,5.2
IDCJAC0016,066024,2026,02,09,11.7
IDCJAC0016,066024,2026,02,10,19.8
IDCJAC0016,066024,2026,02,11,25.7
IDCJAC0016,066024,2026,02,12,8.7
IDCJAC0016,066024,2026,02,13,8.1
IDCJAC0016,066024,2026,02,14,11.7
IDCJAC0016,066024,2026,02,15,14.1
IDCJAC0016,066024,2026,02,16,23.1
