Product code,Bureau of Meteorology station number,Year,Month,Day,Minimum temperature (Degree C),Days of accumulation of minimum temperature,Quality
IDCJAC0011,066037,2026,04,12,12.0,1,N
IDCJAC0011,066037,2026,04,13,12.4,1,N
IDCJAC0011,066037,2026,04,14,13.3,1,N
IDCJAC0011,066037,2026,04,15,12.6,1,N
IDCJAC0011,066037,2026,04,16,14.7,1,N
IDCJAC0011,066037,2026,04,17,14.8,1,N
IDCJAC0011,066037,2026,04,18,12.1,1,N
IDCJAC0011,066037,2026,04,19,10.3,1,N
IDCJAC0011,066037,2026,04,20,11.8,1,N
IDCJAC0011,066037,2026,04,21,15.7,1,N
IDCJAC0011,066037,2026,04,22,16.4,1,N
IDCJAC0011,066037,2026,04,23,13.7,1,N
IDCJAC0011,066037,2026,04,24,14.9,1,N
IDCJAC0011,066037,2026,04,25,14.6,1,N
IDCJAC0011,066037,2026,04,26,14.3,1,N
IDCJAC0011,066037,2026,04,27,12.3,1,N
IDCJAC0011,066037,2026,04,28,14.0,1,N
IDCJAC0011,066037,2026,04,29,14.1,1,N
IDCJAC0011,066037,2026,04,30,16.9,1,N
IDCJAC0011,066037,2026,05,01,15.6,1,N
IDCJAC0011,066037,2026,05,02,17.1,1,N
IDCJAC0011,066037,2026,05,03,17.2,1,N
IDCJAC0011,066037,2026,05,04,18.1,1,N
IDCJAC0011,066037,2026,05,05,14.4,1,N
IDCJAC0011,066037,2026,05,06,12.4,1,N
IDCJAC0011,066037,2026,05,07,12.0,1,N
IDCJAC0011,066037,2026,05,08,9.6,1,N
IDCJAC0011,066037,2026,05,09,13.2,1,N
IDCJAC0011,066037,2026,05,10,11.1,1,N
IDCJAC0011,066037,2026,05,11,13.5,1,N
IDCJAC0011,066037,2026,05,12,16.0,1,N
IDCJAC0011,066037,2026,05,13,16.3,1,N
IDCJAC0011,066037,2026,05,14,15.3,1,N
IDCJAC0011,066037,2026,05,15,14.3,1,N
IDCJAC0011,066037,2026,05,16,14.2,1,N
IDCJAC0011,066037,2026,05,17,16.1,1,N
IDCJAC0011,066037,2026,05,18,16.3,1,N
IDCJAC0011,066037,2026,05,19,16.4,1,N
IDCJAC0011,066037,2026,05,20,13.2,1,N
IDCJAC0011,066037,2026,05,21,12.2,1,N
IDCJAC0011,066037,2026,05,22,13.8,1,N
IDCJAC0011,066037,2026,05,23,15.6,1,N
IDCJAC0011,066037,2026,05,24,14.6,1,N
IDCJAC0011,066037,2026,05,25,16.5,1,N
IDCJAC0011,066037,2026,05,26,17.1,1,N
IDCJAC0011,066037,2026,05,27,16.7,1,N
IDCJAC0011,066037,2026,05,28,17.8,1,N
IDCJAC0011,066037,2026,05,29,16.9,1,N
IDCJAC0011,066037,2026,05,30,11.2,1,N
IDCJAC0011,066037,2026,05,31,10.6,1,N
IDCJAC0011,066037,2026,06,01,9.5,1,N
IDCJAC0011,066037,2026,06,02,11.5,1,N
IDCJAC0011,066037,2026,06,03,13.2,1,N
IDCJAC0011,066037,2026,06,04,13.6,1,N
IDCJAC0011,066037,2026,06,05,11.8,1,N
IDCJAC0011,066037,2026,06,06,10.2,1,N
IDCJAC0011,066037,2026,06,07,8.9,1,N
IDCJAC0011,066037,2026,06,08,9.6,1,N
IDCJAC0011,066037,2026,06,09,12.1,1,N
IDCJAC0011,066037,2026,06,10,13.3,1,N
IDCJAC0011,066037,2026,06,11,15.9,1,N
IDCJAC0011,066037,2026,06,12,15.4,1,N
IDCJAC0011,066037,2026,06,13,14.4,1,N
IDCJAC0011,066037,2026,06,14,15.5,1,N
IDCJAC0011,066037,2026,06,15,16.0,1,N
IDCJAC0011,066037,2026,06,16,12.1,1,N
IDCJAC0011,066037,2026,06,17,14.0,1,N
