INTERVAL_DATETIME,REGIONID,OPERATIONAL_DEMAND,LASTCHANGED,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,SOURCE_FILE
1/01/2025 7:00,NSW1,5638,1/01/2025 7:00,0,0,Operational Demand 202501.CSV
1/01/2025 7:00,QLD1,5126,1/01/2025 7:00,0,0,Operational Demand 202501.CSV
1/01/2025 7:00,SA1,1043,1/01/2025 7:00,0,0,Operational Demand 202501.CSV
1/01/2025 7:00,TAS1,1042,1/01/2025 7:00,0,0,Operational Demand 202501.CSV
1/01/2025 7:00,VIC1,3573,1/01/2025 7:00,0,0,Operational Demand 202501.CSV
1/01/2025 7:30,NSW1,5511,1/01/2025 7:30,0,0,Operational Demand 202501.CSV
1/01/2025 7:30,QLD1,4983,1/01/2025 7:30,0,0,Operational Demand 202501.CSV
1/01/2025 7:30,SA1,910,1/01/2025 7:30,0,0,Operational Demand 202501.CSV
1/01/2025 7:30,TAS1,1040,1/01/2025 7:30,0,0,Operational Demand 202501.CSV
1/01/2025 7:30,VIC1,3435,1/01/2025 7:30,0,0,Operational Demand 202501.CSV
1/01/2025 8:00,NSW1,5233,1/01/2025 8:00,0,0,Operational Demand 202501.CSV
1/01/2025 8:00,QLD1,4782,1/01/2025 8:00,0,0,Operational Demand 202501.CSV
1/01/2025 8:00,SA1,785,1/01/2025 8:00,0,0,Operational Demand 202501.CSV
1/01/2025 8:00,TAS1,1029,1/01/2025 8:00,0,0,Operational Demand 202501.CSV
1/01/2025 8:00,VIC1,3325,1/01/2025 8:00,0,0,Operational Demand 202501.CSV
1/01/2025 8:30,NSW1,4957,1/01/2025 8:30,0,0,Operational Demand 202501.CSV
1/01/2025 8:30,QLD1,4771,1/01/2025 8:30,0,0,Operational Demand 202501.CSV
1/01/2025 8:30,SA1,637,1/01/2025 8:30,0,0,Operational Demand 202501.CSV
1/01/2025 8:30,TAS1,991,1/01/2025 8:30,0,0,Operational Demand 202501.CSV
1/01/2025 8:30,VIC1,3189,1/01/2025 8:30,0,0,Operational Demand 202501.CSV
1/01/2025 9:00,NSW1,4719,1/01/2025 9:00,0,0,Operational Demand 202501.CSV
1/01/2025 9:00,QLD1,4799,1/01/2025 9:00,0,0,Operational Demand 202501.CSV
1/01/2025 9:00,SA1,468,1/01/2025 9:00,0,0,Operational Demand 202501.CSV
1/01/2025 9:00,TAS1,989,1/01/2025 9:00,0,0,Operational Demand 202501.CSV
1/01/2025 9:00,VIC1,3020,1/01/2025 9:00,0,0,Operational Demand 202501.CSV
1/01/2025 9:30,NSW1,4608,1/01/2025 9:30,0,0,Operational Demand 202501.CSV
1/01/2025 9:30,QLD1,4675,1/01/2025 9:30,0,0,Operational Demand 202501.CSV
1/01/2025 9:30,SA1,345,1/01/2025 9:30,0,0,Operational Demand 202501.CSV
1/01/2025 9:30,TAS1,997,1/01/2025 9:30,0,0,Operational Demand 202501.CSV
1/01/2025 9:30,VIC1,2664,1/01/2025 9:30,0,0,Operational Demand 202501.CSV
1/01/2025 10:00,NSW1,4596,1/01/2025 10:00,0,0,Operational Demand 202501.CSV
1/01/2025 10:00,QLD1,4614,1/01/2025 10:00,0,0,Operational Demand 202501.CSV
1/01/2025 10:00,SA1,232,1/01/2025 10:00,0,0,Operational Demand 202501.CSV
1/01/2025 10:00,TAS1,1008,1/01/2025 10:00,0,0,Operational Demand 202501.CSV
1/01/2025 10:00,VIC1,2274,1/01/2025 10:00,0,0,Operational Demand 202501.CSV
1/01/2025 10:30,NSW1,4917,1/01/2025 10:30,0,0,Operational Demand 202501.CSV
1/01/2025 10:30,QLD1,4679,1/01/2025 10:30,0,0,Operational Demand 202501.CSV
1/01/2025 10:30,SA1,157,1/01/2025 10:30,0,0,Operational Demand 202501.CSV
1/01/2025 10:30,TAS1,1022,1/01/2025 10:30,0,0,Operational Demand 202501.CSV
