Product code,Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m)
IDCJAC0016,066024,2025,04,30,7.3
IDCJAC0016,066024,2025,05,01,11.5
IDCJAC0016,066024,2025,05,02,10.9
IDCJAC0016,066024,2025,05,03,12.6
IDCJAC0016,066024,2025,05,04,12.9
IDCJAC0016,066024,2025,05,05,13.5
IDCJAC0016,066024,2025,05,06,11.8
IDCJAC0016,066024,2025,05,07,12.6
IDCJAC0016,066024,2025,05,08,9.2
IDCJAC0016,066024,2025,05,09,10.1
IDCJAC0016,066024,2025,05,10,11.0
IDCJAC0016,066024,2025,05,11,8.4
IDCJAC0016,066024,2025,05,12,9.8
IDCJAC0016,066024,2025,05,13,7.7
IDCJAC0016,066024,2025,05,14,11.4
IDCJAC0016,066024,2025,05,15,5.6
IDCJAC0016,066024,2025,05,16,6.5
IDCJAC0016,066024,2025,05,17,12.4
IDCJAC0016,066024,2025,05,18,5.3
IDCJAC0016,066024,2025,05,19,8.7
IDCJAC0016,066024,2025,05,20,9.3
IDCJAC0016,066024,2025,05,21,7.3
IDCJAC0016,066024,2025,05,22,3.4
IDCJAC0016,066024,2025,05,23,5.6
IDCJAC0016,066024,2025,05,24,11.6
IDCJAC0016,066024,2025,05,25,6.2
IDCJAC0016,066024,2025,05,26,7.8
IDCJAC0016,066024,2025,05,27,10.8
IDCJAC0016,066024,2025,05,28,11.6
IDCJAC0016,066024,2025,05,29,6.6
IDCJAC0016,066024,2025,05,30,11.4
IDCJAC0016,066024,2025,05,31,9.5
IDCJAC0016,066024,2025,06,01,11.3
IDCJAC0016,066024,2025,06,02,9.3
IDCJAC0016,066024,2025,06,03,10.2
IDCJAC0016,066024,2025,06,04,7.1
IDCJAC0016,066024,2025,06,05,11.2
IDCJAC0016,066024,2025,06,06,8.9
IDCJAC0016,066024,2025,06,07,10.5
IDCJAC0016,066024,2025,06,08,11.1
IDCJAC0016,066024,2025,06,09,9.2
IDCJAC0016,066024,2025,06,10,11.0
IDCJAC0016,066024,2025,06,11,11.0
IDCJAC0016,066024,2025,06,12,10.6
IDCJAC0016,066024,2025,06,13,9.3
IDCJAC0016,066024,2025,06,14,9.3
IDCJAC0016,066024,2025,06,15,10.2
IDCJAC0016,066024,2025,06,16,10.9
IDCJAC0016,066024,2025,06,17,10.7
IDCJAC0016,066024,2025,06,18,10.9
IDCJAC0016,066024,2025,06,19,10.7
IDCJAC0016,066024,2025,06,20,10.9
IDCJAC0016,066024,2025,06,21,10.9
IDCJAC0016,066024,2025,06,22,10.9
IDCJAC0016,066024,2025,06,23,10.9
IDCJAC0016,066024,2025,06,24,7.7
IDCJAC0016,066024,2025,06,25,11.0
IDCJAC0016,066024,2025,06,26,10.9
IDCJAC0016,066024,2025,06,27,8.4
IDCJAC0016,066024,2025,06,28,10.4
IDCJAC0016,066024,2025,06,29,11.0
IDCJAC0016,066024,2025,06,30,10.3
IDCJAC0016,066024,2025,07,01,2.6
IDCJAC0016,066024,2025,07,02,7.4
IDCJAC0016,066024,2025,07,03,10.4
IDCJAC0016,066024,2025,07,04,11.2
IDCJAC0016,066024,2025,07,05,9.8
IDCJAC0016,066024,2025,07,06,11.1
IDCJAC0016,066024,2025,07,07,7.9
IDCJAC0016,066024,2025,07,08,7.5
IDCJAC0016,066024,2025,07,09,11.4
IDCJAC0016,066024,2025,07,10,11.1
